name,code,category,brand,Barcode symbol,product cost,product price,product unit,sale unit,purchase unit,stock alert,order tax Percentage,tax type,Notes,Warehouse,supplier,quantity,status,image
QLED 4K Smart TV 65 Inch,80000018,Entertainment,Samsung,CODE128,1100,1799,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Samsung entertainment with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1593305841991-05c297ba4575?w=600
Bravia 4K LED TV 50 Inch,80000019,Entertainment,Sony,CODE128,550,899,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Sony entertainment with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1593305841991-05c297ba4575?w=600
Soundbar 2.1 Channel with Subwoofer,80000020,Entertainment,Sony,CODE128,120,199,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Sony entertainment with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1545454675-3531b543be5d?w=600
Dolby Atmos Soundbar 5.1,80000021,Entertainment,JBL,CODE128,250,399,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium JBL entertainment with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1545454675-3531b543be5d?w=600
Built-in Dishwasher 12 Place,80000022,Kitchen Appliances,Bosch,CODE128,600,949,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Bosch kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1585837575652-267c0cf5cdf3?w=600
Countertop Dishwasher 6 Place,80000023,Kitchen Appliances,Midea,CODE128,220,349,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Midea kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1585837575652-267c0cf5cdf3?w=600
Digital Air Fryer 4.2L,80000024,Kitchen Appliances,Philips,CODE128,80,139,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Philips kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1621972750749-0fbb1abb7736?w=600
Air Fryer XL 5.5L,80000025,Kitchen Appliances,Tefal,CODE128,110,179,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Tefal kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1621972750749-0fbb1abb7736?w=600
Barista Express Espresso Machine,80000026,Kitchen Appliances,Breville,CODE128,450,699,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Breville kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1517256014503-4503e2c34d3f?w=600
Drip Coffee Maker 12 Cup,80000027,Kitchen Appliances,Philips,CODE128,30,55,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Philips kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1517256014503-4503e2c34d3f?w=600
High Speed Bullet Blender,80000028,Kitchen Appliances,Nutribullet,CODE128,45,79,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Nutribullet kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1578683010236-d716f9a3f461?w=600
Food Processor 1000W,80000029,Kitchen Appliances,KitchenAid,CODE128,130,219,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium KitchenAid kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1578683010236-d716f9a3f461?w=600
Active Shield Water Purifier RO,80000030,Kitchen Appliances,Kent,CODE128,150,249,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Kent kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?w=600
Induction Cooktop 2000W,80000031,Kitchen Appliances,Philips,CODE128,35,59,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Philips kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1506368249639-73a05d6f64a8?w=600
HEPA Filter Air Purifier,80000032,Home Comfort,Dyson,CODE128,300,499,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Dyson home comfort with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1618945088541-efeb1a31b41e?w=600
Smart Air Purifier 4 Pro,80000033,Home Comfort,Xiaomi,CODE128,160,249,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Xiaomi home comfort with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1618945088541-efeb1a31b41e?w=600
Dehumidifier 20L/Day,80000034,Home Comfort,Delonghi,CODE128,180,289,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Delonghi home comfort with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1618945088541-efeb1a31b41e?w=600
PTC Ceramic Room Heater,80000035,Home Comfort,Havells,CODE128,40,69,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Havells home comfort with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1618945088541-efeb1a31b41e?w=600
Oil Filled Radiator Heater 11 Fin,80000036,Home Comfort,Delonghi,CODE128,90,149,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Delonghi home comfort with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1618945088541-efeb1a31b41e?w=600
Pedestal Standing Fan 400mm,80000037,Home Comfort,Lasko,CODE128,25,45,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Lasko home comfort with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1618945088541-efeb1a31b41e?w=600
Tower Fan with Remote Control,80000038,Home Comfort,Honeywell,CODE128,50,85,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Honeywell home comfort with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1618945088541-efeb1a31b41e?w=600
Double Wall Electric Kettle 1.7L,80000039,Kitchen Appliances,Philips,CODE128,20,39,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Philips kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1579758629938-03607ccdbaba?w=600
Stainless Steel Multi-Cooker 6L,80000040,Kitchen Appliances,Instant Pot,CODE128,70,119,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Instant Pot kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1579758629938-03607ccdbaba?w=600
2-Slice Stainless Steel Toaster,80000041,Kitchen Appliances,Philips,CODE128,18,29,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Philips kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1579758629938-03607ccdbaba?w=600
4-Slice Retro Toaster,80000042,Kitchen Appliances,Smeg,CODE128,90,149,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Smeg kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1579758629938-03607ccdbaba?w=600
Digital Rice Cooker 1.8L,80000043,Kitchen Appliances,Panasonic,CODE128,40,69,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Panasonic kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1579758629938-03607ccdbaba?w=600
Steam Iron 2400W,80000044,Cleaning Appliances,Tefal,CODE128,30,49,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Tefal cleaning appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-159306722bb07-6c3f8381579b?w=600
Garment Steamer 1800W,80000045,Cleaning Appliances,Philips,CODE128,60,99,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Philips cleaning appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-159306722bb07-6c3f8381579b?w=600
Supersonic Hair Dryer,80000046,Personal Care,Dyson,CODE128,280,399,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Dyson personal care with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1522337360788-8b13edd793be?w=600
Ionic Hair Straightener,80000047,Personal Care,Philips,CODE128,25,45,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Philips personal care with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1522337360788-8b13edd793be?w=600
Full Motion TV Wall Mount,80000048,Accessories,Invision,CODE128,15,29,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Invision accessories with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=600
HDMI 2.1 High Speed Cable 3m,80000049,Accessories,Belkin,CODE128,8,15,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Belkin accessories with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=600
Voltage Stabilizer for AC,80000050,Accessories,V-Guard,CODE128,30,49,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium V-Guard accessories with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=600
French Door Refrigerator 500L - Model V2,80000051,Kitchen Appliances,Samsung,CODE128,840,1363,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Samsung kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1571175432247-fe062a4d3f3f?w=600
InstaView Door-in-Door Refrigerator - Model V2,80000052,Kitchen Appliances,LG,CODE128,1260,2098,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium LG kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1571175432247-fe062a4d3f3f?w=600
Double Door Refrigerator 350L - Model V2,80000053,Kitchen Appliances,Whirlpool,CODE128,472,733,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Whirlpool kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1571175432247-fe062a4d3f3f?w=600
Single Door Refrigerator 190L - Model V2,80000054,Kitchen Appliances,Haier,CODE128,210,336,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Haier kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1571175432247-fe062a4d3f3f?w=600
Front Load Washing Machine 8kg - Model V2,80000055,Laundry Appliances,Bosch,CODE128,525,838,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Bosch laundry appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1582738411706-bfc8e691d1c2?w=600
Top Load Washing Machine 7kg - Model V2,80000056,Laundry Appliances,Samsung,CODE128,315,523,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Samsung laundry appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1582738411706-bfc8e691d1c2?w=600
Smart Inverter Washing Machine 9kg - Model V2,80000057,Laundry Appliances,LG,CODE128,472,756,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium LG laundry appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1582738411706-bfc8e691d1c2?w=600
Convection Microwave Oven 28L - Model V2,80000058,Kitchen Appliances,Samsung,CODE128,126,208,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Samsung kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1574269909862-7e1d70bb8078?w=600
Solo Microwave Oven 20L - Model V2,80000059,Kitchen Appliances,Panasonic,CODE128,73,115,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Panasonic kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1574269909862-7e1d70bb8078?w=600
Grill Microwave Oven 23L - Model V2,80000060,Kitchen Appliances,LG,CODE128,99,157,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium LG kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1574269909862-7e1d70bb8078?w=600
Split Air Conditioner 1.5 Ton - Model V2,80000061,Home Comfort,Daikin,CODE128,420,682,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Daikin home comfort with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?w=600
Inverter Split AC 1 Ton - Model V2,80000062,Home Comfort,Panasonic,CODE128,367,609,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Panasonic home comfort with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?w=600
Window AC 1.5 Ton - Model V2,80000063,Home Comfort,Voltas,CODE128,294,441,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Voltas home comfort with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?w=600
Cyclone V10 Cordless Vacuum - Model V2,80000064,Cleaning Appliances,Dyson,CODE128,367,576,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Dyson cleaning appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1558317374-067fb5f30001?w=600
Robotic Vacuum Cleaner RoboVac - Model V2,80000065,Cleaning Appliances,Eufy,CODE128,189,313,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Eufy cleaning appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1558317374-067fb5f30001?w=600
Canister Vacuum Cleaner 2000W - Model V2,80000066,Cleaning Appliances,Philips,CODE128,94,156,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Philips cleaning appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1558317374-067fb5f30001?w=600
OLED 4K Smart TV 55 Inch - Model V2,80000067,Entertainment,LG,CODE128,945,1573,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium LG entertainment with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1593305841991-05c297ba4575?w=600
QLED 4K Smart TV 65 Inch - Model V2,80000068,Entertainment,Samsung,CODE128,1155,1888,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Samsung entertainment with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1593305841991-05c297ba4575?w=600
Bravia 4K LED TV 50 Inch - Model V2,80000069,Entertainment,Sony,CODE128,577,943,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Sony entertainment with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1593305841991-05c297ba4575?w=600
Soundbar 2.1 Channel with Subwoofer - Model V2,80000070,Entertainment,Sony,CODE128,126,208,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Sony entertainment with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1545454675-3531b543be5d?w=600
Dolby Atmos Soundbar 5.1 - Model V2,80000071,Entertainment,JBL,CODE128,262,418,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium JBL entertainment with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1545454675-3531b543be5d?w=600
Built-in Dishwasher 12 Place - Model V2,80000072,Kitchen Appliances,Bosch,CODE128,630,996,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Bosch kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1585837575652-267c0cf5cdf3?w=600
Countertop Dishwasher 6 Place - Model V2,80000073,Kitchen Appliances,Midea,CODE128,231,366,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Midea kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1585837575652-267c0cf5cdf3?w=600
Digital Air Fryer 4.2L - Model V2,80000074,Kitchen Appliances,Philips,CODE128,84,145,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Philips kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1621972750749-0fbb1abb7736?w=600
Air Fryer XL 5.5L - Model V2,80000075,Kitchen Appliances,Tefal,CODE128,115,187,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Tefal kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1621972750749-0fbb1abb7736?w=600
Barista Express Espresso Machine - Model V2,80000076,Kitchen Appliances,Breville,CODE128,472,733,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Breville kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1517256014503-4503e2c34d3f?w=600
Drip Coffee Maker 12 Cup - Model V2,80000077,Kitchen Appliances,Philips,CODE128,31,57,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Philips kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1517256014503-4503e2c34d3f?w=600
High Speed Bullet Blender - Model V2,80000078,Kitchen Appliances,Nutribullet,CODE128,47,82,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Nutribullet kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1578683010236-d716f9a3f461?w=600
Food Processor 1000W - Model V2,80000079,Kitchen Appliances,KitchenAid,CODE128,136,229,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium KitchenAid kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1578683010236-d716f9a3f461?w=600
Active Shield Water Purifier RO - Model V2,80000080,Kitchen Appliances,Kent,CODE128,157,261,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Kent kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?w=600
Induction Cooktop 2000W - Model V2,80000081,Kitchen Appliances,Philips,CODE128,36,61,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Philips kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1506368249639-73a05d6f64a8?w=600
HEPA Filter Air Purifier - Model V2,80000082,Home Comfort,Dyson,CODE128,315,523,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Dyson home comfort with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1618945088541-efeb1a31b41e?w=600
Smart Air Purifier 4 Pro - Model V2,80000083,Home Comfort,Xiaomi,CODE128,168,261,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Xiaomi home comfort with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1618945088541-efeb1a31b41e?w=600
Dehumidifier 20L/Day - Model V2,80000084,Home Comfort,Delonghi,CODE128,189,303,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Delonghi home comfort with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1618945088541-efeb1a31b41e?w=600
PTC Ceramic Room Heater - Model V2,80000085,Home Comfort,Havells,CODE128,42,72,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Havells home comfort with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1618945088541-efeb1a31b41e?w=600
Oil Filled Radiator Heater 11 Fin - Model V2,80000086,Home Comfort,Delonghi,CODE128,94,156,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Delonghi home comfort with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1618945088541-efeb1a31b41e?w=600
Pedestal Standing Fan 400mm - Model V2,80000087,Home Comfort,Lasko,CODE128,26,47,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Lasko home comfort with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1618945088541-efeb1a31b41e?w=600
Tower Fan with Remote Control - Model V2,80000088,Home Comfort,Honeywell,CODE128,52,89,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Honeywell home comfort with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1618945088541-efeb1a31b41e?w=600
Double Wall Electric Kettle 1.7L - Model V2,80000089,Kitchen Appliances,Philips,CODE128,21,40,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Philips kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1579758629938-03607ccdbaba?w=600
Stainless Steel Multi-Cooker 6L - Model V2,80000090,Kitchen Appliances,Instant Pot,CODE128,73,124,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Instant Pot kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1579758629938-03607ccdbaba?w=600
2-Slice Stainless Steel Toaster - Model V2,80000091,Kitchen Appliances,Philips,CODE128,18,30,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Philips kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1579758629938-03607ccdbaba?w=600
4-Slice Retro Toaster - Model V2,80000092,Kitchen Appliances,Smeg,CODE128,94,156,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Smeg kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1579758629938-03607ccdbaba?w=600
Digital Rice Cooker 1.8L - Model V2,80000093,Kitchen Appliances,Panasonic,CODE128,42,72,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Panasonic kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1579758629938-03607ccdbaba?w=600
Steam Iron 2400W - Model V2,80000094,Cleaning Appliances,Tefal,CODE128,31,51,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Tefal cleaning appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-159306722bb07-6c3f8381579b?w=600
Garment Steamer 1800W - Model V2,80000095,Cleaning Appliances,Philips,CODE128,63,103,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Philips cleaning appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-159306722bb07-6c3f8381579b?w=600
Supersonic Hair Dryer - Model V2,80000096,Personal Care,Dyson,CODE128,294,418,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Dyson personal care with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1522337360788-8b13edd793be?w=600
Ionic Hair Straightener - Model V2,80000097,Personal Care,Philips,CODE128,26,47,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Philips personal care with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1522337360788-8b13edd793be?w=600
